Date,City,Zone,Product_Category,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmph,AQI,Weather_Condition,Units_Sold,Avg_Price_INR,Competitor_Price_INR,Revenue_INR,Inventory_Units,Stockout,Potential_Lost_Units,Potential_Lost_Revenue_INR,Demand_Index,Micro_Climate_Score,Opportunity_Flag
2026-01-01,Delhi,East Delhi,Bottled Water,18.1,69.1,0.0,9.3,128,Sunny,450,28.86,23.83,12987.0,685,No,0,0.0,0.71,35.4,Normal
2026-01-01,Delhi,East Delhi,Juices,17.7,68.6,0.0,13.7,160,Sunny,504,89.97,91.93,45344.88,931,No,0,0.0,0.77,33.3,Normal
2026-01-01,Delhi,North Delhi,Energy Drinks,17.7,85.3,0.0,8.5,176,Cloudy,464,112.46,109.13,52181.44,510,No,0,0.0,0.83,35.5,Normal
2026-01-01,Delhi,North Delhi,Ice Cream,22.8,75.8,0.0,18.7,127,Sunny,644,91.76,94.16,59093.44,773,No,0,0.0,0.86,46.6,Normal
2026-01-01,Delhi,North Delhi,Juices,20.2,81.6,0.0,21.3,188,Cloudy,438,78.01,69.48,34168.38,778,No,0,0.0,0.67,40.0,Normal
2026-01-01,Delhi,South Delhi,Bottled Water,14.9,80.7,0.0,8.3,163,Cloudy,461,31.32,36.97,14438.52,549,No,0,0.0,0.73,29.1,Normal
2026-01-01,Delhi,South Delhi,Energy Drinks,21.0,91.9,0.0,16.2,178,Cloudy,375,114.71,111.02,43016.25,594,No,0,0.0,0.67,43.5,Normal
2026-01-01,Delhi,West Delhi,Energy Drinks,18.7,79.2,0.0,19.0,188,Sunny,489,123.41,110.93,60347.49,922,No,0,0.0,0.87,36.4,Normal
2026-01-01,Delhi,West Delhi,Ice Cream,20.6,76.9,0.0,15.2,146,Sunny,571,85.71,81.61,48940.41,731,No,0,0.0,0.76,41.4,Normal
2026-01-01,Delhi,West Delhi,Juices,15.5,78.0,0.0,8.8,213,Sunny,231,81.7,82.75,18872.7,410,No,0,0.0,0.35,28.5,Normal
2026-01-01,Faridabad,Sector 15,Ice Cream,14.9,89.4,29.3,15.5,141,Rainy,63,90.96,92.32,5730.48,135,No,0,0.0,0.08,7.6,Normal
2026-01-01,Faridabad,Sector 15,Juices,18.3,69.7,0.0,14.0,195,Sunny,334,68.18,58.08,22772.12,349,No,0,0.0,0.51,33.8,Normal
2026-01-01,Faridabad,Sector 37,Energy Drinks,18.0,81.6,0.0,6.7,175,Cloudy,295,111.84,108.05,32992.8,289,Yes,6,671.04,0.52,35.7,Normal
2026-01-01,Ghaziabad,Crossings Republik,Bottled Water,17.4,72.1,0.0,9.9,141,Sunny,375,28.27,23.45,10601.25,703,No,0,0.0,0.6,33.9,Normal
2026-01-01,Ghaziabad,Crossings Republik,Cold Drinks,15.1,79.2,0.0,15.5,145,Sunny,417,68.59,66.07,28602.03,538,No,0,0.0,0.58,29.7,Normal
2026-01-01,Ghaziabad,Crossings Republik,Ice Cream,11.0,87.7,0.0,7.0,195,Cloudy,216,89.86,95.3,19409.76,396,No,0,0.0,0.29,20.5,Normal
2026-01-01,Ghaziabad,Indirapuram,Bottled Water,19.0,76.9,0.0,10.5,204,Sunny,316,29.32,27.14,9265.12,587,No,0,0.0,0.5,36.2,Normal
2026-01-01,Ghaziabad,Raj Nagar,Bottled Water,22.3,76.3,0.0,21.0,148,Sunny,515,33.36,29.89,17180.4,667,No,0,0.0,0.82,45.1,Normal
2026-01-01,Ghaziabad,Vaishali,Energy Drinks,19.0,78.1,0.0,13.1,137,Sunny,425,114.11,110.4,48496.75,751,No,0,0.0,0.76,38.5,Normal
2026-01-01,Gurugram,Cyber City,Bottled Water,19.9,81.7,0.0,12.5,142,Cloudy,434,30.65,32.05,13302.1,705,No,0,0.0,0.69,40.8,Normal
2026-01-01,Gurugram,Cyber City,Ice Cream,17.6,80.5,0.0,12.1,202,Cloudy,492,85.2,76.63,41918.4,555,No,0,0.0,0.66,33.8,Normal
2026-01-01,Gurugram,Cyber City,Juices,18.3,88.1,0.0,15.7,178,Cloudy,424,81.09,78.93,34382.16,572,No,0,0.0,0.65,37.1,Normal
2026-01-01,Gurugram,DLF Phase 1,Bottled Water,16.4,88.5,0.0,9.9,158,Cloudy,513,29.66,27.29,15215.58,528,No,0,0.0,0.81,33.6,Normal
2026-01-01,Gurugram,DLF Phase 1,Juices,15.7,86.2,0.0,12.4,180,Cloudy,516,82.54,86.14,42590.64,956,No,0,0.0,0.79,31.0,Normal
2026-01-01,Gurugram,Sector 57,Bottled Water,15.2,74.4,0.0,22.2,131,Sunny,301,30.58,31.46,9204.58,643,No,0,0.0,0.48,29.6,Normal
2026-01-01,Gurugram,Sector 57,Cold Drinks,14.2,76.3,0.0,13.4,139,Sunny,434,76.01,68.25,32988.34,422,Yes,12,912.12,0.6,27.6,Normal
